step,loss,category
1000,2632.090576171875,train
1000,-9.423329390585423,eval
2000,70.68702697753906,train
2000,-7.636064296029508,eval
3000,74.84156799316406,train
3000,-8.026091243326665,eval
4000,76.99797058105469,train
4000,-7.977823575772345,eval
5000,77.81549835205078,train
5000,-7.995978781022131,eval
6000,84.04620361328125,train
6000,-8.389584934897721,eval
7000,86.80950164794922,train
7000,-6.982822805829346,eval
8000,84.7382583618164,train
8000,-8.873757972382009,eval
9000,91.56051635742188,train
9000,-8.29471571817994,eval
10000,79.18051147460938,train
10000,-7.170004956610501,eval
11000,83.5889892578125,train
11000,-7.70671173799783,eval
12000,80.3735122680664,train
12000,-8.403386653773486,eval
13000,85.7203369140625,train
13000,-7.917689584940672,eval
14000,94.01664733886719,train
14000,-8.476864923909307,eval
15000,87.4642562866211,train
15000,-8.432731132023036,eval
16000,86.73844909667969,train
16000,-7.899688613973558,eval
17000,86.4703140258789,train
17000,-7.966150072682649,eval
18000,86.98401641845703,train
18000,-6.996636555809528,eval
19000,87.79772186279297,train
19000,-7.077040995098651,eval
20000,88.72835540771484,train
20000,-8.168660779297351,eval
21000,86.31197357177734,train
21000,-8.580004610400646,eval
22000,90.67179870605469,train
22000,-8.861435023322702,eval
23000,89.16315460205078,train
23000,-8.326454662159085,eval
24000,92.51776123046875,train
24000,-8.63666041167453,eval
